date,new_cases,cumulative_cases
2020-01-27,0,0
2020-01-28,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-07,0,0
2020-02-17,0,0
2020-02-21,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,3,3
2020-03-16,2,5
2020-03-17,2,7
2020-03-18,5,12
2020-03-19,2,14
2020-03-20,1,15
2020-03-21,6,21
2020-03-22,7,28
2020-03-23,13,41
2020-03-24,10,51
2020-03-25,17,68
2020-03-26,5,73
2020-03-27,17,90
2020-03-28,20,110
2020-03-29,12,122
2020-03-30,5,127
2020-03-31,20,147
2020-04-01,26,173
2020-04-02,20,193
2020-04-03,14,207
2020-04-04,29,236
2020-04-05,26,262
2020-04-06,31,293
2020-04-07,17,310
2020-04-08,32,342
2020-04-09,31,373
2020-04-10,34,407
2020-04-11,21,428
2020-04-12,17,445
2020-04-13,29,474
2020-04-14,43,517
2020-04-15,32,549
2020-04-16,30,579
